,ZIP,UNITID,INSTNM,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PCTFLOAN,CDR3,UGDS_MEN,UGDS_WOMEN,LPSTAFFORD_CNT,LPSTAFFORD_AMT,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,PredominantDegree,HighestDegree,FundingModel,Region,Geography,AdmissionRate,ACTMedian,SATAverage,AverageCost,Expenditure,AverageFacultySalary,MedianDebt,AverageAgeofEntry,MedianFamilyIncome,MedianEarnings,LAT,LNG
875,57701,219347,South Dakota School of Mines and Technology,2177.0,0.8379,0.0156,0.0524,0.0142,0.0115,0.0009,0.0377,0.0253,0.0046,0.5217,0.035,0.7745,0.2255,6181,104658397,0.0,0.0,0.0,0.0,0.0,0.0,0.0507,0.0,0.0,0.8113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0394,0.0225,0.0,0.0169,0.0,0.0,0.0,0.0592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bachelor's,Graduate,Public,Great Plains,Small City,0.8608,26,1183,20234,10035,8892,14875.0,21.6100006,57505.5,48600,44.146058,-103.206715
876,57105,219383,University of Sioux Falls,1268.0,0.8273,0.056,0.0197,0.0118,0.0024,0.0016,0.0568,0.0134,0.011,0.6831,0.045,0.3738,0.6262,6241,97906683,0.0,0.0,0.0,0.0,0.0286,0.0,0.0036,0.0,0.1107,0.0,0.0,0.0,0.0,0.0,0.0179,0.0036,0.0,0.0321,0.0107,0.0,0.0,0.0714,0.0071,0.025,0.0036,0.0,0.0679,0.05,0.0536,0.0214,0.0,0.0,0.0,0.0,0.025,0.2357,0.2286,0.0036,Bachelor's,Graduate,Private,Great Plains,Mid-size City,0.969,23,1064,33909,6852,6075,16749.0,21.8700008,62665.5,34800,43.520296,-96.735607
877,57069,219471,University of South Dakota,6228.0,0.8264,0.0344,0.0448,0.0143,0.0154,0.0013,0.0387,0.0207,0.004,0.5161,0.048,0.374,0.626,32441,779533424,0.0,0.0,0.0,0.0008,0.0461,0.0,0.0119,0.0,0.1477,0.0,0.0,0.0048,0.0,0.0,0.0111,0.0373,0.0,0.062,0.0048,0.0,0.0103,0.0,0.0032,0.0,0.0048,0.0,0.0492,0.0437,0.0,0.0373,0.0,0.0,0.0,0.0,0.0326,0.3129,0.1684,0.0111,Bachelor's,Graduate,Public,Great Plains,Distant Town,0.8788,24,1090,18843,8747,7200,15463.0,22.9899998,53346.0,35900,42.843155,-96.975173
878,37212,219709,Belmont University,6620.0,0.8051,0.0467,0.058,0.0201,0.0038,0.0011,0.0387,0.0091,0.0175,0.5803,0.024,0.3489,0.6511,16749,454451547,0.0,0.0007,0.0,0.0007,0.0601,0.052,0.0074,0.0,0.0115,0.0,0.0,0.0094,0.0,0.0,0.0236,0.0216,0.0,0.0256,0.0081,0.0,0.0108,0.0263,0.0169,0.0094,0.0034,0.0,0.0223,0.0,0.0209,0.0169,0.0,0.0,0.0,0.0,0.3981,0.11,0.137,0.0074,Bachelor's,Graduate,Private,Southeast,Large City,0.7987,27,1193,41450,8976,8450,19173.0,21.1599999,83588.0,37600,36.133877,-86.801254
879,37321,219790,Bryan College-Dayton,824.0,0.807,0.057,0.0328,0.0109,0.0085,0.0,0.0303,0.0388,0.0146,0.4703,0.04,0.4818,0.5182,4014,58654552,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.1058,0.0,0.0,0.0,0.0,0.0,0.0385,0.024,0.0,0.0048,0.0,0.0,0.0,0.0721,0.0,0.0385,0.0,0.0,0.101,0.0192,0.0,0.0096,0.0,0.0,0.0,0.0,0.0337,0.0,0.5144,0.0144,Bachelor's,Graduate,Private,Southeast,Distant Town,0.3762,23,1053,29489,4331,4166,9722.0,25.8700008,55458.5,35400,35.502103,-85.008024
880,37760,219806,Carson-Newman University,1695.0,0.7923,0.0873,0.033,0.0071,0.0071,0.0006,0.0295,0.033,0.01,0.632,0.09,0.4106,0.5894,9388,182974050,0.0,0.0,0.0,0.0,0.024,0.0,0.0053,0.0,0.1253,0.0027,0.0,0.0027,0.016,0.0,0.016,0.048,0.0,0.0693,0.0027,0.0,0.0267,0.0933,0.0373,0.0027,0.008,0.0,0.072,0.0,0.0187,0.0293,0.0,0.0,0.0,0.0,0.0587,0.1547,0.168,0.0187,Bachelor's,Graduate,Private,Southeast,Small Suburb,0.6657,23,1064,32446,6574,5577,15505.0,20.9200001,52873.0,32900,36.108387,-83.457779
881,38104,219833,Christian Brothers University,1535.0,0.3375,0.2573,0.0795,0.0495,0.0078,0.0013,0.0495,0.0417,0.1759,0.4863,0.079,0.486,0.514,7108,187404091,0.0,0.0,0.0,0.0096,0.0,0.0,0.0159,0.0,0.0064,0.1624,0.0032,0.0,0.0,0.0,0.0191,0.0255,0.0,0.0701,0.0414,0.0,0.051,0.035,0.0032,0.0,0.0191,0.0,0.1019,0.0414,0.0,0.0,0.0,0.0,0.0,0.0,0.0191,0.0732,0.2898,0.0127,Bachelor's,Graduate,Private,Southeast,Large City,0.4745,24,1105,34413,6948,5988,20600.0,23.3799992,41418.0,41800,35.132549,-90.003728
882,38104,220808,Memphis College of Art,111.0,0.5225,0.3333,0.0721,0.009,0.0,0.0,0.045,0.0,0.018,0.7794,0.19,0.3333,0.6667,1895,51175308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Bachelor's,Graduate,Private,Southeast,Large City,0.3978,22,1030,37855,8350,5255,25774.0,21.6000004,39874.5,22800,35.132549,-90.003728
883,37312,219879,Cleveland State Community College,2219.0,0.8423,0.0685,0.0586,0.0122,0.0018,0.0018,0.0036,0.0009,0.0104,0.1531,0.195,0.4322,0.5678,7001,69628149,0.0,0.0,0.0,0.0,0.0,0.0,0.0096,0.0,0.0,0.0,0.0423,0.0,0.0462,0.0,0.0,0.5351,0.0,0.0,0.0,0.0,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.0038,0.0,0.0,0.0,0.0087,0.0,0.0058,0.1347,0.1598,0.0,Certificate,Associate,Public,Southeast,Small City,1.0,19,910,10764,5111,5424,6859.5,25.6000004,24530.5,26000,35.232461,-84.879821
884,37087,219949,Cumberland University,1785.0,0.581,0.1232,0.0415,0.0084,0.0106,0.0,0.0,0.0286,0.2067,0.4089,0.08,0.4387,0.5613,6394,123850230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0458,0.0,0.0506,0.0,0.0,0.0,0.0072,0.1518,0.0,0.0627,0.0072,0.0,0.0,0.053,0.0,0.0,0.0,0.0,0.0337,0.0578,0.0,0.012,0.0,0.0,0.0,0.0,0.0265,0.3301,0.1614,0.0,Bachelor's,Graduate,Private,Southeast,Fringe Town,0.473,21,986,33402,6408,5864,17259.0,22.0,47713.0,36600,36.263852,-86.269244
